feature,importance
"City_Gooty, India",3.246890571523382e-05
"City_Tindivanam, India",3.238534894936198e-05
"City_Tuni, India",3.2172762061643786e-05
"City_Sangamner, India",3.20434193149949e-05
"City_Pipar City, India",3.1961678634461514e-05
"City_Narasaraopet, India",3.192345651688686e-05
"City_Suar, India",3.184184847344839e-05
"City_Rudauli, India",3.1430432045484494e-05
"City_Salur, India",3.1219633995794036e-05
"City_Singrauli, India",3.117012694453513e-05
"City_Puliyankudi, India",3.101684074379589e-05
"City_Allahabad, India",3.100647173685651e-05
"City_Tasgaon, India",3.0918124010998686e-05
"City_Tundla, India",3.091149312560657e-05
"City_Kandukur, India",3.084409029471076e-05
"City_Raipur, India",3.08393394530607e-05
"City_Haldwani-cum-Kathgodam, India",3.077410906265758e-05
"City_Punch, India",3.0712940617268414e-05
"City_Sandila, India",3.063055079686226e-05
"City_Nawada, India",3.060291612770226e-05
"City_Nanjangud, India",3.0417988340048874e-05
"City_Neyveli (TS), India",3.0414569038000328e-05
"City_Shahade, India",3.0241916065297973e-05
"City_Sanand, India",3.0102669633993313e-05
"City_Amravati, India",3.0072536203103392e-05
"City_Hugli-Chinsurah, India",2.9985276260480666e-05
"City_Mahemdabad, India",2.9767733847601408e-05
"City_Dhanbad, India",2.969199905572708e-05
"City_Chaibasa, India",2.958180738320667e-05
"City_Batala, India",2.9401716576130415e-05
"City_Moradabad, India",2.9378368498907673e-05
"City_Arsikere, India",2.9201806647785907e-05
"City_Supaul, India",2.9178290300040585e-05
"City_Mathura, India",2.9144256494842693e-05
"City_Katihar, India",2.9140970345302277e-05
"City_Tarn Taran, India",2.914044926009481e-05
"City_New Delhi, India",2.9083860244164008e-05
"City_Tiruttani, India",2.905735591360364e-05
"City_Pithampur, India",2.8847408327370675e-05
"City_Bhubaneswar, India",2.860760025207798e-05
"City_Faridkot, India",2.8545470677415387e-05
"City_Sirsa, India",2.844545966250092e-05
"City_Mainaguri, India",2.8355860375235807e-05
"City_Raiganj, India",2.827595560319932e-05
"City_Virudhunagar, India",2.8196628978728143e-05
"City_Dharmavaram, India",2.8120211366417094e-05
"City_Gohana, India",2.806285088514526e-05
"City_Karjat, India",2.773306468638645e-05
"City_Tohana, India",2.761767284886641e-05
"City_Mokokchung, India",2.7313336681223456e-05
"City_Mungeli, India",2.725486989651081e-05
"City_Dharmanagar, India",2.720802826594506e-05
"City_Nowgong, India",2.7183462986011238e-05
"City_Malkapur, India",2.70884495129559e-05
"City_Phulabani, India",2.6991073784562247e-05
"City_Tirupati, India",2.6990614523624235e-05
"City_Markapur, India",2.698003094527167e-05
"City_Saharsa, India",2.693657816194868e-05
"City_Sagar, India",2.6820799582469202e-05
"City_Bheemunipatnam, India",2.678953116543858e-05
"City_Belagavi, India",2.6773690702062977e-05
"City_Bahadurgarh, India",2.659977729608115e-05
"City_Parli, India",2.653732191329077e-05
"City_Shrirampur, India",2.653444342760913e-05
"City_Sidhpur, India",2.649238397309064e-05
"City_Jamui, India",2.6435327618813826e-05
"City_Anand, India",2.6339616303061048e-05
"City_Manwath, India",2.626385180883985e-05
"City_Patti, India",2.61964408227472e-05
"City_Rajagangapur, India",2.6004564003455837e-05
"City_Raisinghnagar, India",2.590648222909742e-05
"City_Kancheepuram, India",2.5750109761117176e-05
"City_Medak, India",2.5664957935338132e-05
"City_Baharampur, India",2.5551830999033244e-05
"City_Paramakudi, India",2.534857984324986e-05
"City_Thrissur, India",2.512483150364707e-05
"City_Kagaznagar, India",2.500317473278692e-05
"City_Rupnagar, India",2.4823206612498316e-05
"City_Mangrulpir, India",2.4694840539552583e-05
"City_Kottayam, India",2.463342025714325e-05
"City_Shirdi, India",2.4560340007510948e-05
"City_Vasai-Virar, India",2.453516480728413e-05
"City_Bettiah, India",2.449507330779194e-05
"City_Guntur, India",2.444319598847495e-05
"City_Savarkundla, India",2.4430615279465057e-05
"City_Bhimavaram, India",2.4253271925917716e-05
"City_Pilibhit, India",2.42410977703856e-05
"City_Dimapur, India",2.415053043603005e-05
"City_Tenkasi, India",2.4126531831091497e-05
"City_Tamluk, India",2.3980840455023052e-05
"City_Brahmapur, India",2.3938763537132636e-05
"City_Taranagar, India",2.387209424237424e-05
"City_Madhupur, India",2.3834424486547193e-05
"City_Visakhapatnam, India",2.3822639293728188e-05
"City_Panruti, India",2.3779703741261365e-05
"City_Kasaragod, India",2.3603906770493033e-05
"City_Kalimpong, India",2.35642598696303e-05
"City_Palani, India",2.348243894056038e-05
"City_Kapurthala, India",2.3442869113109213e-05
"City_Raghunathganj, India",2.3421991678021528e-05
"City_Sitamarhi, India",2.3284693687230097e-05
"City_Motihari, India",2.3051814546056114e-05
"City_Adilabad, India",2.3004161491730716e-05
"City_Lonavla, India",2.299983593494045e-05
"City_Purna, India",2.2918946720274668e-05
"City_Bhabua, India",2.27439776669518e-05
"City_Nanjikottai, India",2.2738363493369303e-05
"City_Naugawan Sadat, India",2.2702818173882377e-05
"City_Zirakpur, India",2.2681679582548786e-05
